Generation	ID	Survival_Time	Response_Time	Capture_Time	Luminance_Difference	Contrast_Difference	Colour_Difference	GabRat_Edge_Disruption	BgLocal_Luminance	BgLocal_Contrast	BgLocal_A	BgLocal_B	Target_Luminance	Target_Contrast	Target_A	Target_B	Image_ID	X_Coordinate	Y_Coordinate	Rotation	Flip	speckling_intensity	speckling_sigma	pttn_x	pttn_y	pttn_width	pttn_aspect_ratio	pttn_angle	pttn_coverage	pttn_CS_sigma	pttn_CS_height	pttn_CS_angle	pttn_E_sigma	pttn_E_noise	EE_intensity	EE_sigma	unit_C_0	pttn_L	pttn_A	pttn_B	unit_C_1	top_L	top_A	top_B	unit_C_2	bottom_L	bottom_A	bottom_B	unit_C_N	col_sigma	col_height	Parent1	Parent2
1	Gen1_Mut0_ID7	1273	1028	1273	0.83	5.5028	10.7578	0.3892	51.9981	19.8365	2.4808	10.8358	52.8281	25.3393	11.5332	5.0234	2.jpg	1029.7592	233.8185	13.1997	Horiz	0.3086	0.8301	0.2988	0.5804	0.6394	0.9223	0.4909	0.807	0.5884	0.7713	0.5779	0.8085	0.7663	0.8998	0.7657	0.5907	0.887	0.2061	0.1557	0.3481	0.1251	0.4586	0.6235	0.0577	0.6127	0.0536	0.1201	0.4159	0.9296	0.7854	none	none
1	Gen0_Mut0_ID1	652	652	874	19.4066	2.9351	2.052	0.2482	56.7303	17.5103	1.7499	10.7372	37.3238	20.4454	2.2995	12.7142	1.jpg	894.8737	379.4717	52.5176	none	0.9116	0.9354	0.875	0.8756	0.2634	0.098	0.2043	0.0858	0.3608	0.1517	0.3923	0.3624	0.7467	0.3943	0.9296	0.1739	0.3389	0.0422	0.4701	0.4552	0.4547	0.2271	0.3591	0.7062	0.7366	0.3354	0.1214	0.2951	0.2418	0.4814	Par_Gen0_Mut0_ID14	Par_Gen0_Mut0_ID12
1	Gen0_Mut1_ID10	602	602	850	7.4646	16.0256	4.5157	0.3457	50.6161	16.8942	2.6607	11.6741	43.1515	32.9198	7.1294	11.0245	3.jpg	1140.3805	576.8352	-16.1592	Horiz	0.1019	0.8301	0.2988	0.5804	0.1379	0.2057	0.4252	0.4371	0.3462	0.7713	0.5779	0.8085	0.7663	0.8998	0.1172	0.5907	0.887	0.2061	0.1557	0.3481	0.1334	0.3374	0.6486	0.3481	0.1334	0.3374	0.761	0.1971	0.9296	0.7854	Par_Gen0_Mut0_ID7	Par_Gen0_Mut0_ID1
1	Gen1_Mut0_ID6	640	640	800	9.4283	7.358	13.0395	0.3247	56.8472	19.1011	2.3687	11.6187	47.4189	11.7431	7.5308	-0.3555	2.jpg	571.837	728.4572	-16.3434	Horiz	0.3086	0.895	0.8928	0.7202	0.6394	0.7431	0.4909	0.7145	0.5884	0.1248	0.3432	0.7784	0.0471	0.0281	0.7657	0.7116	0.1251	0.4586	0.0361	0.7116	0.1251	0.4586	0.6235	0.1344	0.6347	0.0143	0.1201	0.343	0.3577	0.997	Par_Gen0_Mut0_ID7	Par_Gen0_Mut0_ID1
1	Gen0_Mut1_ID17	627	627	812	22.6534	17.9405	14.7278	0.2197	51.2244	19.2738	2.4218	10.1714	28.571	1.3333	12.9791	20.4404	0.jpg	241.211	577.5472	-39.9976	none	0.5839	0.7783	0.8928	0.7202	0.1379	0.098	0.2043	0.5472	0.5097	0.1248	0.3923	0.067	0.737	0.0281	0.2797	0.325	0.3389	0.0422	0.4701	0.2721	0.1408	0.7251	0.6486	0.4413	0.764	0.0143	0.6331	0.1241	0.2418	0.997	Par_Gen0_Mut0_ID14	Par_Gen0_Mut0_ID1
2	Gen2_Mut0_ID3	858	858	3544	0.8854	2.8494	3.2527	0.3203	57.3333	19.0447	2.7915	12.053	58.2188	21.8941	0.4309	14.2907	2.jpg	813.102	786.5238	-50.4065	none	0.1019	0.6616	0.5999	0.8756	0.2634	0.0265	0.4252	0.3446	0.3462	0.1517	0.3432	0.7784	0.0471	0.3943	0.7671	0.6101	0.451	0.8072	0.0361	0.7116	0.1632	0.3374	0.3591	0.7062	0.2493	0.6617	0.2493	0.2951	0.3577	0.4256	Par_Gen0_Mut0_ID14	Par_Gen0_Mut0_ID1
2	Gen2_Mut0_ID7	721	721	1228	20.4596	0.8946	11.7299	0.2314	51.8159	16.0395	2.011	11.1954	31.3563	15.1449	11.2094	18.474	3.jpg	863.2654	742.5135	-11.4289	none	0.1019	0.6616	0.5999	0.8756	0.2634	0.0265	0.4252	0.3446	0.3462	0.1517	0.3432	0.7784	0.0471	0.3943	0.7671	0.6101	0.451	0.8072	0.0361	0.7116	0.1632	0.3374	0.3591	0.7062	0.2493	0.6617	0.2493	0.2951	0.3577	0.4256	Par_Gen0_Mut0_ID14	Par_Gen0_Mut0_ID1
2	Gen2_Mut0_ID6	1113	1113	1654	2.1087	11.7536	7.909	0.3033	51.7616	18.6905	2.4166	9.7551	53.8703	6.9369	0.5154	2.0779	0.jpg	418.0244	392.6433	54.6695	Horiz	0.3086	0.8301	0.9438	0.5607	0.5736	0.8463	0.4909	0.807	0.3608	0.9471	0.5779	0.7341	0.7491	0.56	0.7657	0.1361	0.8365	0.6209	0.1557	0.4552	0.6342	0.3354	0.8676	0.2751	0.6342	0.3354	0.1201	0.4159	0.1218	0.4814	Par_Gen0_Mut0_ID12	Par_Gen0_Mut0_ID7
2	Gen0_Mut0_ID14	1121	1121	1639	12.7706	1.7026	7.3254	0.3216	53.941	17.0931	2.2048	11.2918	66.7116	15.3904	-3.9031	7.2476	1.jpg	833.4812	719.8627	15.1614	Horiz	0.9116	0.9354	0.2988	0.5804	0.3762	0.6184	0.5699	0.0858	0.5884	0.7713	0.1698	0.5107	0.7663	0.8998	0.3808	0.5907	0.7355	0.2061	0.6188	0.3481	0.3922	0.4586	0.6235	0.0577	0.6773	0.0536	0.1083	0.9042	0.9296	0.7854	Par_Gen0_Mut0_ID12	Par_Gen0_Mut0_ID7
2	Gen0_Mut0_ID7	1527	580	1527	6.7568	7.1504	8.8987	0.4328	55.5146	19.5071	2.5122	10.5506	62.2713	12.3566	6.3357	18.5859	3.jpg	436.1069	171.5019	-58.3797	none	0.8079	0.4725	0.5686	0.3378	0.9147	0.286	0.6448	0.3794	0.9826	0.8252	0.645747571	0.197200968	0.198910621	0.3016	0.9716	0.0343	0.248	0.0249	0.0669	0.846	0.3224	0.7311	0.3178	0.0714	0.3879	0.4037	0.05431916	1	0.055899749	0.242974149	none	none
